Name,Owner,Stars,Forks,Last Updated,License,URL
pytorch_geometric,pyg-team,22005,3780,2025-03-12T18:23:38Z,MIT License,https://github.com/pyg-team/pytorch_geometric
facefusion,facefusion,21918,3306,2025-03-12T12:33:08Z,Other,https://github.com/facefusion/facefusion
tornado,tornadoweb,21852,5525,2025-03-04T16:31:54Z,Apache License 2.0,https://github.com/tornadoweb/tornado
ungoogled-chromium,ungoogled-software,21805,894,2025-03-09T00:27:39Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/ungoogled-software/ungoogled-chromium
LLaVA,haotian-liu,21775,2392,2024-08-12T09:52:38Z,Apache License 2.0,https://github.com/haotian-liu/LLaVA
kotaemon,Cinnamon,21624,1697,2025-02-14T14:40:49Z,Apache License 2.0,https://github.com/Cinnamon/kotaemon
minGPT,karpathy,21549,2796,2024-08-15T04:09:40Z,MIT License,https://github.com/karpathy/minGPT
serve,jina-ai,21415,2219,2025-03-12T15:29:22Z,Apache License 2.0,https://github.com/jina-ai/serve
OSX-KVM,kholia,21310,1911,2024-10-10T06:13:13Z,N/A,https://github.com/kholia/OSX-KVM
chinese-independent-blogs,timqian,21281,2531,2025-03-12T08:57:52Z,MIT License,https://github.com/timqian/chinese-independent-blogs
saleor,saleor,21254,5603,2025-03-12T15:23:10Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/saleor/saleor
babyagi,yoheinakajima,21173,2774,2024-11-06T19:51:38Z,N/A,https://github.com/yoheinakajima/babyagi
chatgpt-retrieval-plugin,openai,21143,3694,2024-07-04T22:00:16Z,MIT License,https://github.com/openai/chatgpt-retrieval-plugin
loguru,Delgan,21039,720,2025-03-01T20:21:06Z,MIT License,https://github.com/Delgan/loguru
Gooey,chriskiehl,21000,1027,2024-02-21T16:05:35Z,MIT License,https://github.com/chriskiehl/Gooey
DeepSeek-Coder,deepseek-ai,20952,2347,2024-05-21T09:52:58Z,MIT License,https://github.com/deepseek-ai/DeepSeek-Coder
